Title,Year,Age,IMDb,Rotten Tomatoes
The Year of Happiness and Love,2009,7+,5.2/10,29/100
Tjovitjo,2017,,6.3/10,29/100
Jumping Girl,2015,,5.1/10,28/100
Kibaoh Klashers,2017,7+,6.3/10,27/100
Chhota Bheem,2008,,4.3/10,27/100
Lugar de Mulher,2019,,4.5/10,26/100
CoComelon,2020,,,25/100
Game Winning Hit,2009,,2.3/10,24/100
La Esclava Blanca,2016,,,24/100
El Señor de los Cielos 5,2017,,,24/100
Manhunt: Deadly Games,2020,,,23/100
The Great British Baking Show: Holidays,2016,16+,,23/100
Trailer Park Boys: Out of the Park: USA,2017,,,22/100
Futmalls.com,2020,16+,,22/100
A House of Blocks,2017,18+,,22/100
Paprika,2018,all,,21/100
Fukrey Boyzzz,2019,all,,21/100
Click for Murder,2017,,,21/100
Sexy Central,2019,,,21/100
A Perfect Day for Arsenide,2021,,,21/100
Diamond City,2018,,,20/100
Beyond Stranger Things,2017,,,20/100
Unlucky Ploy,2020,,,20/100
Heart & Soul,2020,,,20/100
Hati Perempuan,2015,,,19/100
Caught on Camera,2014,,,19/100
Don't Be the First One,2020,,,18/100
True: Wonderful Wishes,2018,,,18/100
Two Fathers,2013,,,18/100
Monkart,2017,,,18/100
Westside Story,2003,,,18/100
Laws of Attraction,2012,,,17/100
World At Your Feet,2014,,,17/100
Miniforce,2016,,,17/100
The Truth,2008,,,17/100
Love Naggers,2018,,,16/100
Show Me the Money,2004,,,16/100
Sudden,2013,,,16/100
Hatchimals: Adventures in Hatchtopia,2018,,,16/100
Loo Loo Kids: Johny & Friends Musical Adventure,2016,all,,16/100
Under the Black Moonlight,2016,,,16/100
Running Man (Animated),2017,7+,,16/100
Sleepless Society: Bedtime Wishes,2019,,,16/100
The Governor,2016,,,14/100
Dance & Sing with True,2018,,,14/100
Sin Ellas No Hay Paraíso,2013,,,14/100
True: Magical Friends,2018,,,14/100
The Princess Weiyoung - 锦绣未央,2016,,,14/100
DreamWorks Spooky Stories Volume 2,2011,,,14/100
The Family Court,2010,,,14/100
Million Yen Women,2017,,,14/100
Argon,2017,,,14/100
The Golden Path,2012,,,13/100
Road to Victory,2001,,,13/100
My Little Baby,2016,,,13/100
Ordinary Heroes,2013,,,13/100
Bal Ganesh,2012,,,13/100
Cinta Si Wedding Planner,2015,,,13/100
Together,2009,,,13/100
Sons of the Caliphate,2016,,,13/100
Paul Hollywood's Big Continental Road Trip,2017,,,13/100
The Confrontation,2018,,,10/100
Dhia Sofea,2014,,,10/100
K-Pop Extreme Survival,2012,,,10/100
Be with Me,2015,,,10/100
Rick and Morty,2013,18+,9.2/10,100/100
Seinfeld,1989,16+,8.8/10,93/100
Vikings,2013,18+,8.5/10,92/100
Fargo,2014,18+,8.9/10,92/100
Brooklyn Nine-Nine,2013,16+,8.4/10,92/100
Lost,2004,16+,8.3/10,91/100
Parks and Recreation,2009,16+,8.6/10,91/100
The Simpsons,1989,7+,8.6/10,91/100
It's Always Sunny in Philadelphia,2005,18+,8.8/10,90/100
Firefly,2002,16+,9.0/10,90/100
My Hero Academia,2016,16+,8.4/10,90/100
How I Met Your Mother,2005,16+,8.3/10,90/100
Modern Family,2009,7+,8.4/10,90/100
The Handmaid's Tale,2017,18+,8.4/10,90/100
Twin Peaks,1990,18+,8.8/10,89/100
Homeland,2011,18+,8.3/10,89/100
Gravity Falls,2012,7+,8.9/10,88/100
Futurama,1999,16+,8.4/10,88/100
Sons of Anarchy,2008,18+,8.5/10,88/100
The X-Files,1993,18+,8.6/10,87/100
Line of Duty,2012,18+,8.7/10,87/100
Justified,2010,18+,8.6/10,87/100
This Is Us,2016,16+,8.7/10,87/100
Freaks and Geeks,1999,16+,8.7/10,87/100
Prison Break,2005,16+,8.3/10,87/100
Scrubs,2001,16+,8.3/10,87/100
What We Do in the Shadows,2019,18+,8.5/10,87/100
Archer,2009,18+,8.6/10,86/100
Killing Eve,2018,16+,8.2/10,86/100
Adventure Time,2010,7+,8.6/10,86/100
24,2001,16+,8.3/10,86/100
The Twilight Zone,1959,7+,9.0/10,86/100
Buffy the Vampire Slayer,1997,16+,8.2/10,86/100
White Collar,2009,7+,8.2/10,85/100
Teen Wolf,2011,16+,7.6/10,85/100
The Shield,2002,18+,8.7/10,85/100
Bob's Burgers,2011,16+,8.1/10,85/100
30 Rock,2006,16+,8.2/10,84/100
Legion,2017,18+,8.2/10,84/100
Atlanta,2016,18+,8.6/10,84/100
The Office,2001,16+,8.5/10,84/100
Frasier,1993,7+,8.1/10,83/100
Pretty Little Liars,2010,16+,7.4/10,83/100
Mr Inbetween,2018,18+,8.6/10,83/100
Friday Night Lights,2006,7+,8.6/10,83/100
Taboo,2017,18+,8.4/10,83/100
Pride and Prejudice,1995,all,8.8/10,83/100
Normal People,2020,16+,8.5/10,83/100
Black Sails,2014,18+,8.2/10,83/100
Elementary,2012,16+,7.9/10,83/100
Veronica Mars,2004,16+,8.3/10,83/100
11.22.63,2016,18+,8.2/10,83/100
Nathan For You,2013,16+,8.9/10,82/100
Mr. Bean,1990,all,8.5/10,82/100
Bones,2005,16+,7.8/10,82/100
The Killing,2011,18+,8.2/10,82/100
Naruto Shippūden,2007,7+,8.6/10,82/100
Burn Notice,2007,7+,7.9/10,82/100
Steins;Gate,2011,16+,8.8/10,82/100
Cosmos,2014,all,9.3/10,82/100
Family Guy,1999,16+,8.1/10,82/100
Cheers,1982,7+,7.9/10,82/100
DAVE,2020,18+,8.3/10,82/100
Misfits,2009,18+,8.2/10,81/100
Peep Show,2003,18+,8.6/10,81/100
Criminal Minds,2005,16+,8.0/10,81/100
Superstore,2015,16+,7.8/10,81/100
Lie to Me,2009,16+,8.0/10,81/100
The Orville,2017,16+,8.0/10,80/100
Preacher,2016,18+,8.0/10,80/100
12 Monkeys,2015,16+,7.7/10,80/100
Dirk Gently's Holistic Detective Agency,2016,16+,8.3/10,80/100
Smallville,2001,7+,7.5/10,80/100
RuPaul's Drag Race,2009,16+,8.4/10,80/100
Fear the Walking Dead,2015,18+,6.9/10,80/100
"Love, Victor",2020,16+,8.1/10,80/100
Cowboy Bebop,1998,16+,8.9/10,80/100
Blue Bloods,2010,16+,7.6/10,80/100
Inside No. 9,2014,18+,8.5/10,80/100
Parenthood,2010,7+,8.2/10,79/100
Desperate Housewives,2004,7+,7.5/10,79/100
Broad City,2014,18+,8.4/10,79/100
Boston Legal,2004,16+,8.4/10,79/100
Revenge,2011,18+,7.8/10,79/100
Samurai Champloo,2004,18+,8.5/10,79/100
Workaholics,2011,16+,8.1/10,79/100
The Act,2019,18+,8.0/10,79/100
The Fosters,2013,16+,7.9/10,79/100
Younger,2015,16+,7.8/10,79/100
The Good Doctor,2017,16+,8.1/10,79/100
Terminator: The Sarah Connor Chronicles,2008,7+,7.7/10,79/100
Angel,1999,7+,7.9/10,79/100
09-01-2001,2018,16+,7.8/10,79/100
Snowfall,2017,18+,8.2/10,78/100
The Venture Bros.,2004,18+,8.5/10,78/100
The Strain,2014,18+,7.3/10,78/100
The Terror,2018,18+,7.9/10,78/100
Zoey's Extraordinary Playlist,2020,16+,8.1/10,78/100
The League,2009,18+,8.2/10,78/100
Key & Peele,2012,18+,8.3/10,78/100
Malcolm in the Middle,2000,7+,8.0/10,78/100
Dollhouse,2009,16+,7.7/10,78/100
This Way Up,2019,,7.8/10,78/100
The Great,2020,18+,8.1/10,78/100
My Name Is Earl,2005,16+,7.7/10,78/100
Scandal,2012,16+,7.7/10,78/100
Motherland: Fort Salem,2020,16+,7.2/10,78/100
Awkward.,2011,16+,7.5/10,78/100
Raising Hope,2010,16+,8.0/10,78/100
Law & Order: Special Victims Unit,1999,16+,8.0/10,78/100
Castle Rock,2018,18+,7.6/10,77/100
The Last Ship,2014,16+,7.5/10,77/100
Cruel Summer,2021,16+,7.5/10,77/100
Chicago Fire,2012,16+,8.0/10,77/100
Better Off Ted,2009,7+,8.2/10,77/100
Prodigal Son,2019,16+,7.7/10,77/100
Timeless,2016,7+,7.7/10,77/100
Devs,2020,18+,7.7/10,77/100
You're the Worst,2014,18+,8.1/10,77/100
Elfen Lied,2004,18+,8.0/10,77/100
Please Like Me,2013,18+,8.5/10,77/100
Lethal Weapon,2016,16+,7.9/10,77/100
The Last Man on Earth,2015,16+,7.3/10,77/100
TRIGUN,1998,16+,8.3/10,77/100
My So-Called Life,1994,16+,8.3/10,76/100
Little Fires Everywhere,2020,18+,7.7/10,76/100
The Librarians,2014,16+,7.3/10,76/100
In the Flesh,2013,18+,8.0/10,76/100
The Exorcist,2016,16+,8.0/10,76/100
American Dad!,2005,16+,7.3/10,76/100
Ramy,2019,18+,8.1/10,76/100
Chicago P.D.,2014,16+,8.1/10,76/100
Stargate Atlantis,2004,7+,8.1/10,76/100
Marvel's Runaways,2017,16+,7.0/10,76/100
Rescue Me,2004,18+,8.3/10,76/100
Shadowhunters,2016,16+,6.6/10,76/100
Everybody Hates Chris,2005,7+,7.4/10,76/100
Stargate Universe,2009,16+,7.6/10,76/100
PEN15,2019,18+,8.0/10,76/100
My Mad Fat Diary,2013,16+,8.4/10,76/100
RuPaul's Drag Race All Stars,2012,16+,8.5/10,76/100
The Gifted,2017,16+,7.3/10,75/100
Future Man,2017,18+,7.7/10,75/100
Prime Suspect,1991,18+,8.4/10,75/100
Better Things,2016,18+,7.8/10,75/100
Sleepy Hollow,2013,16+,7.4/10,75/100
Regular Show,2010,7+,8.4/10,75/100
M*A*S*H,1972,7+,8.4/10,75/100
Top of the Lake,2013,18+,7.5/10,75/100
Switched at Birth,2011,16+,7.7/10,75/100
Wayward Pines,2015,16+,7.4/10,75/100
Saturday Night Live,1975,16+,8.0/10,75/100
Staged,2020,,8.6/10,75/100
Dragon Ball Super,2015,7+,8.4/10,75/100
Fresh Off the Boat,2015,7+,7.8/10,75/100
The Mighty Boosh,2004,16+,8.3/10,75/100
Cardinal,2017,18+,7.7/10,74/100
Absolutely Fabulous,1992,16+,8.1/10,74/100
Letterkenny,2016,18+,8.6/10,74/100
Scream Queens,2015,16+,7.1/10,74/100
Wilfred,2011,18+,7.8/10,74/100
Deutschland,2015,18+,8.1/10,74/100
Empire,2015,16+,7.4/10,74/100
Brockmire,2017,18+,8.0/10,74/100
The Unit,2006,16+,8.1/10,74/100
Genius,2017,16+,8.3/10,74/100
Mayans M.C.,2018,18+,7.6/10,74/100
black-ish,2014,16+,7.1/10,74/100
CSI: Crime Scene Investigation,2000,16+,7.6/10,74/100
Tokyo Ghoul,2014,16+,7.8/10,74/100
MythBusters,2003,7+,8.3/10,74/100
Don't Trust the B---- in Apartment 23,2012,16+,7.3/10,74/100
Sailor Moon,1992,16+,7.8/10,74/100
One Tree Hill,2003,16+,7.7/10,74/100
Nip/Tuck,2003,18+,7.6/10,74/100
Looking for Alaska,2019,18+,8.1/10,74/100
New Amsterdam,2018,16+,8.1/10,74/100
The Golden Girls,1985,7+,8.0/10,74/100
Cougar Town,2009,7+,7.0/10,73/100
The Purge,2018,18+,6.5/10,73/100
Catch-22,2019,18+,7.8/10,73/100
The Rookie,2018,16+,8.0/10,73/100
Married... with Children,1987,7+,8.0/10,73/100
The Looming Tower,2018,18+,8.0/10,73/100
Blindspot,2015,16+,7.4/10,73/100
Steven Universe,2013,7+,8.2/10,73/100
Nashville,2012,7+,7.7/10,73/100
Salem,2014,18+,7.2/10,73/100
The Mindy Project,2012,7+,7.4/10,73/100
Mrs. America,2020,18+,7.9/10,73/100
The Middle,2009,7+,7.6/10,73/100
Roseanne,1988,7+,7.0/10,73/100
Black Clover,2017,16+,8.3/10,73/100
Witches of East End,2013,16+,7.6/10,73/100
Whitechapel,2009,7+,7.9/10,73/100
Stumptown,2019,16+,7.5/10,73/100
I Love Lucy,1951,all,8.4/10,72/100
Harlots,2017,18+,7.7/10,72/100
UnREAL,2015,16+,7.8/10,72/100
The Wonder Years,1988,7+,8.3/10,72/100
Graceland,2013,16+,7.7/10,72/100
Anthony Bourdain: No Reservations,2005,7+,8.5/10,72/100
Ugly Betty,2006,7+,6.5/10,72/100
Marvel's Cloak & Dagger,2018,16+,6.7/10,72/100
The Bold Type,2017,16+,7.9/10,72/100
The Resident,2018,16+,7.7/10,72/100
Dragon Ball,1996,16+,8.5/10,72/100
The Goldbergs,2013,7+,8.1/10,72/100
Terriers,2010,18+,8.4/10,72/100
American Horror Stories,2021,18+,6.5/10,72/100
ER,1994,16+,7.7/10,72/100
Fairy Tail,2009,16+,8.0/10,72/100
Bunheads,2012,16+,7.6/10,72/100
High Fidelity,2020,18+,7.7/10,72/100
Horace and Pete,2016,18+,8.5/10,72/100
The Amazing World of Gumball,2011,7+,8.2/10,71/100
Blackadder,1983,7+,8.0/10,71/100
Hell's Kitchen,2005,16+,7.1/10,71/100
Robot Chicken,2005,18+,7.7/10,71/100
People of Earth,2016,18+,7.7/10,71/100
Boruto: Naruto Next Generations,2017,16+,7.0/10,71/100
The Musketeers,2014,16+,7.8/10,71/100
Sesame Street,1969,all,8.1/10,71/100
Shrill,2019,18+,7.4/10,71/100
LEGO Masters,2020,7+,7.4/10,71/100
Good Behavior,2016,18+,8.1/10,71/100
Murdoch Mysteries,2008,7+,8.1/10,71/100
Full House,1987,all,6.7/10,71/100
Mom,2013,16+,7.2/10,71/100
Will & Grace,1998,16+,7.2/10,71/100
King of the Hill,1997,7+,7.3/10,71/100
Doc Martin,2004,7+,8.3/10,71/100
Impractical Jokers,2011,16+,8.6/10,71/100
Debris,2021,16+,6.5/10,71/100
Solar Opposites,2020,18+,8.0/10,70/100
Trust,2018,18+,7.6/10,70/100
SIX,2017,18+,7.3/10,70/100
Last Man Standing,2011,7+,7.5/10,70/100
Body of Proof,2011,16+,7.1/10,70/100
The Hitchhiker's Guide to the Galaxy,1981,7+,8.0/10,70/100
Afro Samurai,2007,18+,7.7/10,70/100
S.W.A.T.,2017,16+,7.0/10,70/100
A Million Little Things,2018,16+,7.9/10,70/100
For Life,2020,16+,7.6/10,70/100
Battlestar Galactica,1978,7+,7.2/10,70/100
Alfred Hitchcock Presents,1955,16+,8.5/10,70/100
Flashpoint,2008,16+,7.7/10,70/100
The Detour,2016,18+,7.7/10,70/100
Greek,2007,16+,7.5/10,70/100
Casual,2015,18+,7.5/10,70/100
Mary Kills People,2017,18+,7.5/10,70/100
Mushi-Shi,2005,16+,8.5/10,70/100
Baskets,2016,18+,7.6/10,70/100
Touch,2012,16+,7.3/10,70/100
Rurouni Kenshin,1996,16+,8.5/10,70/100
Big Sky,2020,16+,6.7/10,70/100
The Wrong Mans,2013,18+,7.8/10,70/100
Chance,2016,18+,7.7/10,69/100
The Split,2018,18+,7.7/10,69/100
Make It or Break It,2009,16+,7.5/10,69/100
Das Boot,2018,18+,7.4/10,69/100
Legit,2013,18+,8.2/10,69/100
Breeders,2020,18+,7.4/10,69/100
Queen Sugar,2016,16+,7.6/10,69/100
Drake & Josh,2004,all,7.7/10,69/100
MasterChef,2010,16+,7.3/10,69/100
Young Rock,2021,16+,7.1/10,69/100
The Eric Andre Show,2012,18+,8.6/10,69/100
Animaniacs,1993,all,7.9/10,69/100
Man Seeking Woman,2015,18+,7.8/10,69/100
Pretty Little Liars: The Perfectionists,2019,16+,7.0/10,69/100
Yu Yu Hakusho,1992,16+,8.4/10,69/100
Brassic,2019,,8.3/10,69/100
Lodge 49,2018,16+,7.7/10,69/100
I Am the Night,2019,18+,7.0/10,69/100
Hey Arnold!,1996,all,7.6/10,69/100
NOS4A2,2019,16+,6.7/10,69/100
The Glades,2010,16+,7.4/10,69/100
The Bridge,2013,18+,7.6/10,69/100
Underground,2016,18+,7.8/10,69/100
A Teacher,2020,18+,6.9/10,69/100
Danny Phantom,2004,7+,7.1/10,69/100
Sliders,1995,7+,7.4/10,69/100
30 for 30,2009,7+,8.8/10,69/100
Life in Pieces,2015,16+,8.0/10,69/100
The Amazing Race,2001,7+,7.6/10,68/100
Pitch,2016,16+,7.4/10,68/100
Numb3rs,2005,7+,6.9/10,68/100
Roswell,1999,16+,7.5/10,68/100
Tyrant,2014,18+,7.8/10,68/100
Legends,2014,16+,7.5/10,68/100
Angie Tribeca,2016,16+,7.0/10,68/100
FLCL,2000,18+,8.2/10,68/100
Rugrats,1991,all,7.4/10,68/100
Fosse/Verdon,2019,18+,7.9/10,68/100
Assassination Classroom,2015,16+,8.0/10,68/100
Top Chef,2006,16+,7.6/10,68/100
Ghost Whisperer,2005,7+,6.4/10,68/100
Darker than Black,2007,16+,7.7/10,68/100
Kaguya-sama: Love is War,2019,16+,8.4/10,68/100
Ally McBeal,1997,16+,6.8/10,68/100
Everything's Gonna Be Okay,2020,16+,7.3/10,68/100
Psycho-Pass,2012,18+,8.2/10,68/100
The Powerpuff Girls,1998,7+,7.3/10,68/100
"Beverly Hills, 90210",1990,16+,6.4/10,68/100
"McCartney 3,2,1",2021,,9.0/10,68/100
Friday Night Dinner,2011,18+,8.1/10,68/100
Wu-Tang: An American Saga,2019,18+,8.2/10,68/100
Hellsing Ultimate,2006,18+,8.3/10,68/100
Claws,2017,18+,7.4/10,68/100
Marvel's M.O.D.O.K.,2021,18+,6.3/10,68/100
Shark Tank,2009,7+,7.6/10,68/100
Ghost Adventures,2008,13+,7.5/10,67/100
Miranda,2009,7+,8.2/10,67/100
Making It,2018,7+,7.9/10,67/100
The Son,2017,16+,7.5/10,67/100
10 Things I Hate About You,2009,16+,7.3/10,67/100
Good Trouble,2019,16+,7.5/10,67/100
Ben 10,2005,7+,7.3/10,67/100
The Mick,2017,16+,7.8/10,67/100
WWE Raw,1993,7+,7.8/10,67/100
Party of Five,1994,7+,6.8/10,67/100
Overlord,2015,18+,7.8/10,67/100
The Path,2016,18+,7.3/10,67/100
Descendants of the Sun,2016,16+,8.3/10,67/100
Single Parents,2018,7+,7.1/10,67/100
Deadliest Catch,2005,16+,7.8/10,67/100
Gangland Undercover,2015,16+,8.2/10,67/100
ThunderCats,1985,7+,7.9/10,67/100
Shiki,2010,18+,7.7/10,67/100
Rascal Does Not Dream of Bunny Girl Senpai,2018,16+,8.2/10,67/100
Jane Eyre,2006,7+,8.3/10,67/100
Kitchen Nightmares,2007,16+,7.5/10,67/100
Devious Maids,2013,7+,7.8/10,67/100
My Wife and Kids,2001,7+,6.8/10,67/100
Star vs. the Forces of Evil,2015,7+,8.0/10,67/100
Dark Side of the Ring,2019,16+,8.8/10,67/100
High School DxD,2012,18+,7.6/10,67/100
Transplant,2020,16+,7.9/10,67/100
Apple Tree Yard,2017,16+,7.2/10,67/100
9-1-1: Lone Star,2020,16+,6.8/10,67/100
Fruits Basket,2019,7+,8.6/10,66/100
Siren,2018,7+,7.0/10,66/100
Holey Moley,2019,7+,6.9/10,66/100
Diabolik Lovers,2013,16+,5.2/10,66/100
Dates,2013,,7.5/10,66/100
Baby Daddy,2012,16+,7.4/10,66/100
Digimon Adventure,1999,7+,7.3/10,66/100
The Long Road Home,2017,18+,7.5/10,66/100
Black Lagoon,2006,18+,8.0/10,66/100
Taken,2017,18+,6.6/10,66/100
Harrow,2018,,7.6/10,66/100
Walker,2021,16+,5.9/10,66/100
Catfish: The TV Show,2012,16+,7.1/10,66/100
Treadstone,2019,18+,7.0/10,66/100
The Incredible Hulk,1977,7+,7.0/10,66/100
"Sabrina, the Teenage Witch",1996,all,6.7/10,66/100
X-Men: Evolution,2000,7+,7.8/10,66/100
Death Parade,2015,18+,7.9/10,66/100
NEXT,2020,16+,6.7/10,66/100
The Pink Panther,1964,all,7.6/10,66/100
Golden Time,2013,16+,7.6/10,66/100
Dollface,2019,18+,7.4/10,66/100
Taxi,1978,7+,7.7/10,66/100
Being Mary Jane,2014,16+,7.5/10,66/100
Drunk History,2013,16+,7.8/10,65/100
Twisted,2013,16+,7.3/10,65/100
Brothers and Sisters,2006,16+,7.3/10,65/100
Breakout Kings,2011,16+,7.3/10,65/100
Scott & Bailey,2011,7+,8.0/10,65/100
Little Britain,2003,18+,7.6/10,65/100
Law & Order: Organized Crime,2021,16+,7.6/10,65/100
Pinky and the Brain,1995,7+,7.8/10,65/100
Ergo Proxy,2006,18+,8.0/10,65/100
Noragami,2014,16+,7.9/10,65/100
Primeval,2007,16+,7.3/10,65/100
Face Off,2011,7+,8.2/10,65/100
Love Island,2015,18+,5.2/10,65/100
Highlander: The Series,1992,16+,7.2/10,65/100
Prison School,2015,18+,7.6/10,65/100
Good Luck Charlie,2010,all,7.0/10,65/100
Medium,2005,16+,7.0/10,65/100
Fire Force,2019,16+,7.7/10,65/100
Second Chance,2016,16+,7.5/10,65/100
American Housewife,2016,7+,7.4/10,65/100
The First,2018,18+,6.7/10,65/100
Reprisal,2019,18+,7.5/10,65/100
Mushoku Tensei: Jobless Reincarnation,2021,16+,8.3/10,64/100
The Kids Are Alright,2018,7+,7.9/10,64/100
Remington Steele,1982,7+,7.2/10,64/100
Saved by the Bell,1989,all,7.0/10,64/100
The Fades,2011,18+,7.7/10,64/100
My Teen Romantic Comedy SNAFU,2013,16+,7.9/10,64/100
Station 19,2018,16+,6.7/10,64/100
New Tricks,2003,7+,7.8/10,64/100
The Mary Tyler Moore Show,1970,7+,8.1/10,64/100
Hill Street Blues,1981,16+,8.1/10,64/100
Monster Musume: Everyday Life with Monster Girls,2015,18+,6.7/10,64/100
The Conners,2018,7+,5.3/10,64/100
NYPD Blue,1993,16+,7.6/10,64/100
CSI: Miami,2002,16+,6.4/10,64/100
Metalocalypse,2006,18+,8.2/10,64/100
America's Got Talent,2006,7+,5.8/10,64/100
Fixer Upper,2013,all,8.2/10,64/100
DCI Banks,2011,16+,7.6/10,64/100
The Future Diary,2011,18+,7.6/10,64/100
Childrens Hospital,2008,18+,7.8/10,64/100
The First 48,2004,18+,8.2/10,64/100
Chopped,2009,all,7.5/10,64/100
Sense and Sensibility,2008,16+,8.0/10,64/100
House Hunters,1999,all,8.1/10,64/100
Teenage Mutant Ninja Turtles,2012,7+,7.8/10,64/100
Flower of Evil,2020,,8.8/10,64/100
Monogatari,2009,16+,8.0/10,64/100
Prisoners of War,2010,,8.4/10,63/100
Clique,2017,18+,7.0/10,63/100
Atlantis,2013,7+,6.6/10,63/100
Travel Man: 48 Hours in...,2015,7+,8.3/10,63/100
Chowder,2007,7+,7.3/10,63/100
The Hardy Boys,2020,7+,7.0/10,63/100
Shots Fired,2017,16+,6.5/10,63/100
National Treasure,2016,,7.4/10,63/100
The Familiar of Zero,2006,16+,7.0/10,63/100
The Brady Bunch,1969,all,6.7/10,63/100
Four Weddings and a Funeral,2019,18+,7.2/10,63/100
Hamilton's Pharmacopeia,2016,18+,8.9/10,63/100
The New York Times Presents,2020,18+,6.7/10,63/100
What's Wrong with Secretary Kim,2018,all,8.1/10,63/100
The Great North,2021,16+,6.5/10,63/100
The Ultimate Fighter,2005,16+,7.8/10,63/100
Tiny Toon Adventures,1990,all,7.5/10,63/100
Foster's Home for Imaginary Friends,2004,7+,7.6/10,63/100
The Tonight Show Starring Jimmy Fallon,2014,16+,7.2/10,63/100
Barkskins,2020,18+,7.3/10,63/100
River Monsters,2009,7+,8.1/10,63/100
The Dick Van Dyke Show,1961,all,8.3/10,63/100
Yu-Gi-Oh! GX,2004,all,6.8/10,63/100
Highschool of the Dead,2010,18+,7.2/10,63/100
While You Were Sleeping,2017,,8.4/10,63/100
The Marvelous Misadventures of Flapjack,2008,7+,7.8/10,63/100
Difficult People,2015,18+,7.0/10,63/100
Reba,2001,7+,6.5/10,63/100
The Event,2010,16+,7.0/10,62/100
American Gothic,1995,7+,8.1/10,62/100
Garfield and Friends,1988,7+,7.3/10,62/100
Home Economics,2021,7+,6.2/10,62/100
Clannad After Story,2009,7+,8.6/10,62/100
The Choe Show,2021,,8.5/10,62/100
Bless This Mess,2019,7+,6.9/10,62/100
Horrible Histories,2009,7+,8.8/10,62/100
grown-ish,2018,16+,6.4/10,62/100
Duncanville,2020,16+,6.0/10,62/100
The Guest Book,2017,18+,7.2/10,62/100
Speechless,2016,7+,7.6/10,62/100
Intervention,2005,16+,7.8/10,62/100
K.C. Undercover,2015,all,6.2/10,62/100
The Three Stooges,1934,all,8.6/10,62/100
Dragon Ball GT,1996,7+,6.8/10,62/100
Melissa & Joey,2010,16+,7.0/10,62/100
The Bob Newhart Show,1972,all,8.1/10,62/100
General Hospital,1963,16+,6.5/10,62/100
Lupin the Third,1971,16+,7.9/10,62/100
Charlotte,2015,16+,7.6/10,62/100
Mr. Mayor,2021,16+,6.3/10,62/100
Murder in the First,2014,18+,7.3/10,62/100
Jersey Shore: Family Vacation,2018,16+,6.6/10,62/100
Family Matters,1989,all,6.6/10,62/100
24: Legacy,2017,16+,6.2/10,62/100
American Ninja Warrior,2009,7+,6.8/10,62/100
Seraph of the End,2015,13+,7.5/10,62/100
Deutschland 86,2018,,7.6/10,62/100
Brickleberry,2012,18+,7.3/10,62/100
Ghosted,2017,7+,6.3/10,62/100
Saving Hope,2012,16+,7.5/10,62/100
Married at First Sight,2014,7+,6.2/10,61/100
The Voice,2011,7+,6.5/10,61/100
Wings,1990,7+,7.2/10,61/100
American Pickers,2010,7+,7.0/10,61/100
Nightwatch,2015,16+,8.8/10,61/100
Gold Rush,2010,7+,7.3/10,61/100
The Riches,2007,18+,7.8/10,61/100
Lark Rise to Candleford,2008,7+,8.1/10,61/100
Stan Against Evil,2016,16+,7.3/10,61/100
Homicide Hunter: Lt Joe Kenda,2011,16+,8.8/10,61/100
RuPaul's Drag Race: Untucked,2010,16+,7.8/10,61/100
The Carmichael Show,2015,7+,7.7/10,61/100
Moone Boy,2012,16+,8.1/10,61/100
Tyler Perry's The Haves and the Have Nots,2013,16+,6.0/10,61/100
Perfect Strangers,1986,7+,7.2/10,61/100
The Practice,1997,16+,7.7/10,61/100
Light as a Feather,2018,16+,6.6/10,61/100
Burden of Truth,2018,16+,7.3/10,61/100
Mister Ed,1961,all,7.0/10,61/100
Kamisama Kiss,2012,7+,8.1/10,61/100
Mike Tyson Mysteries,2014,16+,8.1/10,61/100
American Gladiators,1988,7+,6.5/10,61/100
My Life as a Teenage Robot,2003,all,6.9/10,60/100
Felicity,1998,16+,6.8/10,60/100
Expedition Unknown,2015,7+,8.2/10,60/100
Rosewood,2015,16+,6.7/10,60/100
The Guardian,2001,7+,7.4/10,60/100
Jeremiah,2002,18+,7.0/10,60/100
The Secret of Skinwalker Ranch,2020,7+,6.1/10,60/100
Dharma & Greg,1997,16+,6.3/10,60/100
The Real Housewives of Beverly Hills,2010,16+,5.1/10,60/100
The Fall Guy,1981,16+,7.0/10,60/100
Sealab 2021,2000,16+,7.9/10,60/100
The Incredible Dr. Pol,2011,7+,8.6/10,60/100
Whose Line Is It Anyway? (UK),1988,7+,8.2/10,60/100
The Fruit of Grisaia,2014,18+,7.1/10,60/100
St. Elsewhere,1982,7+,7.9/10,60/100
Ben 10: Omniverse,2012,7+,6.0/10,60/100
Naked and Afraid,2013,16+,6.6/10,60/100
Woke,2020,18+,6.4/10,60/100
Mr. Pickles,2014,18+,7.4/10,60/100
The Moodys,2019,16+,6.8/10,60/100
Being Erica,2009,16+,7.5/10,60/100
Dual Survival,2010,16+,7.5/10,60/100
Dimension 404,2017,16+,6.6/10,60/100
Diff'rent Strokes,1978,all,6.6/10,60/100
Bad Banks,2018,7+,7.9/10,60/100
Kojak,1973,16+,7.1/10,60/100
Robin of Sherwood,1984,7+,8.5/10,60/100
Ranma ½,1989,16+,7.9/10,60/100
McLeod's Daughters,2001,16+,7.2/10,60/100
Life Below Zero,2013,7+,8.0/10,60/100
mixed-ish,2019,7+,6.2/10,60/100
Mountain Men,2012,7+,7.3/10,60/100
Baywatch,1989,7+,5.3/10,60/100
Shut Eye,2016,18+,7.3/10,59/100
Dietland,2018,18+,6.5/10,59/100
Yona of the Dawn,2014,16+,8.1/10,59/100
